ITIN_ID,YEAR,QUARTER,ORIGIN,ORIGIN_COUNTRY,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,ROUNDTRIP,REPORTING_CARRIER,PASSENGERS,ITIN_FARE,DESTINATION
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,736,DAB
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,570,COS
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,564,MCO
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,345,LGA
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,309,MGM
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,2,303,MSY
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,377,MSY
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,339,LAS
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,369,RNO
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,369,ORF
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,1647,JAX
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,425,LIT
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,1445,FAI
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,842,BNA
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,279,RDU
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,379,CLE
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,934,MCO
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,689,MSP
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,644,PIT
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,469,PVD
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,652,MFE
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,889,MIA
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,645,HOU
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,632,ANC
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,607,ASE
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,849,MKE
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,675,PHX
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,309,MSP
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,11,CLE
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,323,LAX
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,528,SAV
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,507,MIA
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,239,LAX
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,320,JFK
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,867,DCA
2.01913E+11,2019,1,ABI,US,TX,Texas,0,MQ,1,309,LAS
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,544,ECP
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,872,CLT
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,874,LAX
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,2,277,SAN
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,489,CID
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,2,474,MCO
2.01913E+11,2019,1,ABI,US,TX,Texas,1,MQ,1,592,BDL
